<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	1.02010	1.02016	1.01723	1.01873	2465	0	35
2012.01.02	04:00:00	1.01866	1.02100	1.01792	1.01914	3100	0	29
2012.01.02	08:00:00	1.01919	1.02070	1.01765	1.01907	6212	0	25
2012.01.02	12:00:00	1.01917	1.02064	1.01883	1.02021	6104	0	17
2012.01.02	16:00:00	1.02025	1.02084	1.01811	1.02027	4650	0	16
2012.01.02	20:00:00	1.02026	1.02026	1.01775	1.01872	3285	0	31
2012.01.03	00:00:00	1.01873	1.01916	1.01506	1.01608	4624	0	20
2012.01.03	04:00:00	1.01611	1.01627	1.01265	1.01335	5225	0	10
2012.01.03	08:00:00	1.01340	1.01427	1.01110	1.01124	9240	0	10
2012.01.03	12:00:00	1.01125	1.01257	1.00791	1.01008	13652	0	10
2012.01.03	16:00:00	1.01009	1.01151	1.00756	1.01074	14697	0	10
2012.01.03	20:00:00	1.01074	1.01141	1.00984	1.01123	7372	0	17
2012.01.04	00:00:00	1.01117	1.01368	1.01084	1.01347	5125	0	20
2012.01.04	04:00:00	1.01350	1.01381	1.01194	1.01204	5557	0	10
2012.01.04	08:00:00	1.01203	1.01427	1.01180	1.01345	14912	0	10
2012.01.04	12:00:00	1.01337	1.01611	1.01080	1.01096	16434	0	10
2012.01.04	16:00:00	1.01100	1.01510	1.01090	1.01268	14421	0	10
2012.01.04	20:00:00	1.01272	1.01343	1.01172	1.01308	6813	0	15
2012.01.05	00:00:00	1.01308	1.01460	1.01282	1.01360	5543	0	20
2012.01.05	04:00:00	1.01361	1.01453	1.01334	1.01352	6954	0	10
2012.01.05	08:00:00	1.01353	1.01945	1.01196	1.01931	15222	0	10
2012.01.05	12:00:00	1.01932	1.02122	1.01353	1.01903	16946	0	10
2012.01.05	16:00:00	1.01894	1.02243	1.01677	1.01746	15860	0	10
2012.01.05	20:00:00	1.01748	1.02015	1.01734	1.01955	7320	0	20
2012.01.06	00:00:00	1.01952	1.02024	1.01815	1.01825	4940	0	20
2012.01.06	04:00:00	1.01824	1.02108	1.01816	1.01939	6156	0	10
2012.01.06	08:00:00	1.01946	1.01996	1.01686	1.01879	13845	0	10
2012.01.06	12:00:00	1.01878	1.02485	1.01728	1.02428	16733	0	10
2012.01.06	16:00:00	1.02427	1.02699	1.02256	1.02559	14287	0	10
2012.01.06	20:00:00	1.02556	1.02848	1.02552	1.02830	5324	0	19
2012.01.09	00:00:00	1.02940	1.03129	1.02840	1.03027	7355	0	20
2012.01.09	04:00:00	1.03030	1.03178	1.03008	1.03037	7191	0	10
2012.01.09	08:00:00	1.03039	1.03039	1.02717	1.02872	15483	0	10
2012.01.09	12:00:00	1.02872	1.02983	1.02466	1.02695	16304	0	10
2012.01.09	16:00:00	1.02693	1.02944	1.02534	1.02575	14557	0	10
2012.01.09	20:00:00	1.02582	1.02597	1.02249	1.02355	6419	0	19
2012.01.10	00:00:00	1.02359	1.02372	1.02118	1.02169	5103	0	35
2012.01.10	04:00:00	1.02168	1.02168	1.01830	1.01906	6658	0	10
2012.01.10	08:00:00	1.01907	1.02095	1.01816	1.01864	13963	0	10
2012.01.10	12:00:00	1.01865	1.01879	1.01551	1.01795	14548	0	10
2012.01.10	16:00:00	1.01790	1.01943	1.01563	1.01648	13208	0	10
2012.01.10	20:00:00	1.01639	1.01697	1.01507	1.01665	6358	0	20
2012.01.11	00:00:00	1.01664	1.01853	1.01586	1.01794	5089	0	20
2012.01.11	04:00:00	1.01793	1.01818	1.01572	1.01581	5161	0	10
2012.01.11	08:00:00	1.01582	1.01645	1.01382	1.01510	10815	0	35
2012.01.11	12:00:00	1.01508	1.02047	1.01477	1.02046	14951	0	10
2012.01.11	16:00:00	1.02045	1.02091	1.01819	1.01955	14933	0	10
2012.01.11	20:00:00	1.01952	1.01981	1.01772	1.01864	6676	0	20
2012.01.12	00:00:00	1.01871	1.01920	1.01754	1.01765	5084	0	20
2012.01.12	04:00:00	1.01768	1.01872	1.01768	1.01812	5316	0	10
2012.01.12	08:00:00	1.01813	1.01914	1.01522	1.01574	14029	0	10
2012.01.12	12:00:00	1.01573	1.01887	1.01385	1.01665	15824	0	10
2012.01.12	16:00:00	1.01664	1.02094	1.01630	1.01810	12797	0	10
2012.01.12	20:00:00	1.01809	1.01962	1.01775	1.01873	6310	0	20
2012.01.13	00:00:00	1.01873	1.01880	1.01790	1.01875	4204	0	20
2012.01.13	04:00:00	1.01876	1.01923	1.01670	1.01720	5976	0	10
2012.01.13	08:00:00	1.01722	1.01849	1.01626	1.01730	14882	0	10
2012.01.13	12:00:00	1.01728	1.02575	1.01672	1.02449	16396	0	10
2012.01.13	16:00:00	1.02447	1.02822	1.02290	1.02403	16203	0	10
2012.01.13	20:00:00	1.02409	1.02455	1.02172	1.02300	6154	0	10
2012.01.16	00:00:00	1.02405	1.02522	1.02317	1.02362	4809	0	20
2012.01.16	04:00:00	1.02361	1.02378	1.02110	1.02115	4725	0	10
2012.01.16	08:00:00	1.02115	1.02199	1.01907	1.02063	12939	0	10
2012.01.16	12:00:00	1.02062	1.02137	1.01823	1.01921	11606	0	10
2012.01.16	16:00:00	1.01923	1.01978	1.01646	1.01766	8045	0	10
2012.01.16	20:00:00	1.01768	1.01849	1.01727	1.01846	3418	0	10
2012.01.17	00:00:00	1.01847	1.01872	1.01479	1.01491	4950	0	20
2012.01.17	04:00:00	1.01492	1.01507	1.01399	1.01431	5414	0	10
2012.01.17	08:00:00	1.01432	1.01451	1.01121	1.01346	14898	0	10
2012.01.17	12:00:00	1.01347	1.01507	1.01143	1.01468	15511	0	10
2012.01.17	16:00:00	1.01467	1.01558	1.01252	1.01505	13525	0	10
2012.01.17	20:00:00	1.01503	1.01664	1.01439	1.01523	6312	0	20
2012.01.18	00:00:00	1.01532	1.01586	1.01449	1.01490	4449	0	20
2012.01.18	04:00:00	1.01485	1.01551	1.01354	1.01503	5152	0	10
2012.01.18	08:00:00	1.01503	1.01695	1.01180	1.01235	16725	0	10
2012.01.18	12:00:00	1.01236	1.01755	1.01181	1.01558	17000	0	10
